Line 289: dO=0 dC=1 nO=0 nC=0 | Balance: div=6 nav=1
Line 290: dO=1 dC=0 nO=0 nC=0 | Balance: div=7 nav=1
Line 292: dO=0 dC=1 nO=0 nC=0 | Balance: div=6 nav=1
Line 293: dO=0 dC=1 nO=0 nC=0 | Balance: div=5 nav=1
Line 294: dO=0 dC=1 nO=0 nC=0 | Balance: div=4 nav=1
Line 296: dO=0 dC=1 nO=0 nC=0 | Balance: div=3 nav=1
Line 311: dO=1 dC=0 nO=0 nC=0 | Balance: div=4 nav=1
Line 313: dO=1 dC=1 nO=0 nC=0 | Balance: div=4 nav=1
Line 314: dO=0 dC=1 nO=0 nC=0 | Balance: div=3 nav=1
Line 323: dO=1 dC=0 nO=0 nC=0 | Balance: div=4 nav=1
Line 329: dO=1 dC=0 nO=0 nC=0 | Balance: div=5 nav=1
Line 330: dO=1 dC=0 nO=0 nC=0 | Balance: div=6 nav=1
Line 333: dO=1 dC=0 nO=0 nC=0 | Balance: div=7 nav=1
Line 336: dO=0 dC=1 nO=0 nC=0 | Balance: div=6 nav=1
Line 339: dO=1 dC=0 nO=0 nC=0 | Balance: div=7 nav=1
Line 352: dO=0 dC=1 nO=0 nC=0 | Balance: div=6 nav=1
Line 355: dO=1 dC=0 nO=0 nC=0 | Balance: div=7 nav=1
Line 362: dO=0 dC=1 nO=0 nC=0 | Balance: div=6 nav=1
Line 363: dO=0 dC=1 nO=0 nC=0 | Balance: div=5 nav=1
Line 364: dO=0 dC=1 nO=0 nC=0 | Balance: div=4 nav=1
Line 365: dO=0 dC=1 nO=0 nC=0 | Balance: div=3 nav=1
Line 374: dO=1 dC=0 nO=0 nC=0 | Balance: div=4 nav=1
Line 381: dO=0 dC=1 nO=0 nC=0 | Balance: div=3 nav=1
Line 382: dO=0 dC=1 nO=0 nC=0 | Balance: div=2 nav=1
Line 383: dO=0 dC=1 nO=0 nC=0 | Balance: div=1 nav=1
Line 387: dO=1 dC=0 nO=0 nC=0 | Balance: div=2 nav=1
Line 391: dO=0 dC=1 nO=0 nC=0 | Balance: div=1 nav=1
Line 396: dO=1 dC=0 nO=0 nC=0 | Balance: div=2 nav=1
Line 397: dO=1 dC=0 nO=0 nC=0 | Balance: div=3 nav=1
Line 413: dO=0 dC=1 nO=0 nC=0 | Balance: div=2 nav=1
Line 416: dO=1 dC=0 nO=0 nC=0 | Balance: div=3 nav=1
Line 418: dO=1 dC=0 nO=0 nC=0 | Balance: div=4 nav=1
Line 427: dO=1 dC=0 nO=0 nC=0 | Balance: div=5 nav=1
Line 430: dO=0 dC=1 nO=0 nC=0 | Balance: div=4 nav=1
Line 431: dO=0 dC=1 nO=0 nC=0 | Balance: div=3 nav=1
Line 433: dO=1 dC=0 nO=0 nC=0 | Balance: div=4 nav=1
Line 438: dO=0 dC=1 nO=0 nC=0 | Balance: div=3 nav=1
Line 439: dO=0 dC=1 nO=0 nC=0 | Balance: div=2 nav=1
Line 441: dO=0 dC=1 nO=0 nC=0 | Balance: div=1 nav=1
Line 443: dO=0 dC=0 nO=0 nC=1 | Balance: div=1 nav=0
Line 444: dO=0 dC=1 nO=0 nC=0 | Balance: div=0 nav=0
Final Counts: DIV=0, NAV=0
